SitePatch,SpeciesName
5.1,Rubus idaeus
5.1,Deschampsia flexuosa
5.1,Athyrium filix-femina
5.1,Dryopteris marginalis
5.1,Dryopteris intermedia
5.1,Maianthemum canadense
5.1,Asplenium trichomanes
5.1,Abies balsamea
5.1,Acer rubrum
5.1,Tsuga canadensis
5.1,Prunus sp
5.1,Campanula rotundifolia
5.1,Arenaria groenlandica
5.1,Polygonum cilinode
5.1,Pteridium aquilinum
5.1,Cystopteris fragilis
5.1,Clintonia virginiana
5.1,Polypodium virginianum
5.1,Pinus strobus
5.1,Betula papyrifera
5.1,Betula alleghaniensis
5.1,Juniperus communis var. depressa
5.2,Maianthemum canadense
5.2,Pteridium aquilinum
5.2,Polypodium virginianum
5.2,Athyrium filix-femina
5.2,Dryopteris marginalis
5.2,Polygonatum pubescens
5.2,Dryopteris intermedia
5.2,Prunus serotina
5.2,Vaccinium sp
5.2,Rubus idaeus
5.2,Epifagus virginiana
5.2,Coptis groenlandica
5.2,Trillium sp
5.2,Brachyletrium erectum
5.2,Pinus strobus
5.2,Tsuga canadensis
5.2,Acer rubrum
5.2,Betula alleghaniensis
5.2,Corylus cornuta
5.2,Abies balsamea
5.2,Amelanchier sp
5.2,Betula papyrifera
5.3,Deschampsia flexuosa
5.3,Maianthemum canadense
5.3,Campanula rotundifolia
5.3,Asplenium trichomanes
5.3,Dryopteris marginalis
5.3,Moehringia macrophylla
5.3,Polypodium virginianum
5.3,Arenaria groenlandica
5.3,Pinus strobus
5.3,Tsuga canadensis
5.3,Picea rubens
5.3,Acer rubrum
5.3,Abies balsamea
5.3,Rubus idaeus
5.3,Athyrium filix-femina
5.3,Pteridium aquilinum
5.3,Vaccinium sp
5.3,Betula papyrifera
5.3,Amelanchier sp
6.2,Pteridium aquilinum
6.2,Rubus idaeus
6.2,Deschampsia flexuosa
6.2,Athyrium filix-femina
6.2,Carex sp. 
6.2,Picea rubens
6.2,Betula papyrifera
6.2,Asplenium trichomanes
6.2,Dryopteris marginalis
6.2,Viola sp. 
6.2,Polygonatum pubescens
6.2,Acer rubrum
6.2,Acer spicatum
6.2,Abies balsamea
6.2,Tsuga canadensis
6.2,Pinus strobus
6.3,Rubus idaeus
6.3,Pteridium aquilinum
6.3,Campanula rotundifolia
6.3,Deschampsia flexuosa
6.3,Athyrium filix-femina
6.3,Asplenium trichomanes
6.3,Viola sp. 
6.3,Arenaria sp. 
6.3,Dryopteris marginalis
6.3,Polypodium virginianum
6.3,Maianthemum canadense
6.3,Acer rubrum
6.3,Betula papyrifera
6.3,Pinus strobus
6.3,Juniperus communis var. depressa
6.3,Picea rubens
6.4,Polygonum cilinode
6.4,Rubus idaeus
6.4,Athyrium filix-femina
6.4,Dryopteris marginalis
6.4,Aralia nudicaulis
6.4,Betula papyrifera
6.4,Acer rubrum
6.4,Pteridium aquilinum
6.4,Campanula rotundifolia
6.4,Epipactis helleborine
6.4,Solidago sp. 
6.4,Acer spicatum
6.4,Acer saccharum 
6.4,Acer pensylvanicum
6.4,Prunus sp. 
6.4,Amelanchier sp. 
6.5,Athyrium filix-femina
6.5,Asplenium trichomanes
6.5,Deschampsia flexuosa
6.5,Juniperus communis var. depressa
6.5,Picea rubens
6.5,Campanula rotundifolia
6.5,Polypodium virginianum
6.5,Rubus idaeus
6.5,Arenaria groenlandica
6.5,Betula papyrifera
6.5,Pinus strobus
6.5,Tsuga canadensis
8.1,Athyrium filix-femina
8.1,Rubus idaeus
8.1,Gaultheria hispidula
8.1,Vaccinium sp
8.1,Abies balsamea
8.1,Picea rubens
8.1,Polypodium virginianum
8.1,Deschampsia flexuosa
8.1,Juniperus communis var. depressa
8.1,Betula papyrifera
8.1,Pinus resinosa
8.1,Polypodium virginianum
8.1,Dryopteris marginalis
8.1,Viburnum cassanoides subsp cassanoides
8.1,Acer pensylvanicum
8.1,Ledum groenlandicum
8.1,Pteridium aquilinum
8.1,Gaultheria procumbens
8.1,Clintonia virginiana
8.2,Pteridium aquilinum
8.2,Viburnum cassanoides subsp cassanoides
8.2,Vaccinium sp.
8.2,Deschampsia flexuosa
8.2,Athyrium filix-femina
8.2,Rubus idaeus
8.2,Polypodium virginianum
8.2,Acer rubrum
8.2,Tsuga canadensis
8.2,Betula papyrifera
8.2,Picea rubens
8.2,Abies balsamea
8.2,Pinus strobus
8.2,Pinus resinosa
8.2,Juniperus communis var. depressa
8.3,Vaccinium sp
8.3,Arenaria stricta
8.3,Deschampsia flexuosa
8.3,Arenaria groenlandica
8.3,Polypodium virginianum
8.3,Athyrium filix-femina
8.3,Campanula rotundifolia
8.3,Picea rubens
8.3,Ledum groenlandicum
8.3,Rubus idaeus
8.3,Maianthemum canadense
8.3,Acer rubrum
8.3,Abies balsamea
8.3,Tsuga canadensis
8.3,Juniperus communis var. depressa
8.3,Viburnum cassanoides subsp cassanoides
8.4,Deschampsia flexuosa
8.4,Vaccinium sp. 
8.4,Rubus idaeus
8.4,Maianthemum canadense
8.4,Athyrium filix-femina
8.4,Polygonatum pubescens
8.4,Dryopteris marginalis
8.4,Taraxacum officinale
8.4,Campanula rotundifolia
8.4,Viburnum cassanoides subsp cassanoides
8.4,Juniperus communis var. depressa
8.4,Acer rubrum
8.4,Tsuga canadensis
8.4,Clintonia virginiana
8.4,Arenaria stricta
8.4,Arenaria groenlandica
8.4,Acer pensylvanicum
8.4,Betula papyrifera
8.4,Pinus strobus
8.4,Picea rubens
8.4,Abies balsamea
8.4,Acer saccharum 
8.5,Athyrium filix-femina
8.5,Polygonatum pubescens
8.5,Maianthemum canadense
8.5,Deschampsia flexuosa
8.5,Acer rubrum
8.5,Betula papyrifera
8.5,Juniperus communis var. depressa
8.5,Clintonia virginiana
8.5,Campanula rotundifolia
8.5,Monotropa uniflora
8.5,Rubus idaeus
8.5,Arenaria stricta
8.5,Viburnum cassanoides subsp cassanoides
8.5,Pinus strobus
8.5,Picea rubens
8.5,Arenaria groenlandica
8.5,Vaccinium sp. 
8.5,Gaultheria procumbens
8.5,Tsuga canadensis
8.5,Abies balsamea
8.5,Betula alleghaniensis
8.6,Athyrium filix-femina
8.6,Oxalis sp. 
8.6,Dryopteris intermedia
8.6,Maianthemum canadense
8.6,Polypodium virginianum
8.6,Acer rubrum
8.6,Tsuga canadensis
8.6,Abies balsamea
8.6,Viburnum alnifolium
8.6,Betula alleghaniensis
8.6,Pinus strobus
8.6,Betula papyrifera
8.6,Picea rubens
9.1,Pteridium aquilinum
9.1,Coptis groenlandica
9.1,Athyrium filix-femina
9.1,Trientalis borealis
9.1,Maianthemum canadense
9.1,Aralia nudicaulis
9.1,Vaccinium sp
9.1,Viburnum cassanoides subsp cassanoides
9.1,Acer rubrum
9.1,Clintonia virginiana
9.1,Mitchella repens
9.1,Acer pensylvanicum
9.1,Betula papyrifera
9.1,Abies balsamea
9.1,Picea rubens
9.1,Tsuga canadensis
9.1,Fagus grandifolia
9.1,Polypodium virginianum
9.1,Dryopteris marginalis
9.1,Dryopteris intermedia
9.2,Athyrium filix-femina
9.2,Campanula rotundifolia
9.2,Pteridium aquilinum
9.2,Arenaria groenlandica
9.2,Deschampsia flexuosa
9.2,Juniperus communis var. depressa
9.2,Rubus idaeus
9.2,Dryopteris marginalis
9.2,Abies balsamea
9.2,Betula papyrifera
9.2,Pinus strobus
9.2,Acer rubrum
9.2,Clintonia virginiana
9.2,Viburnum cassanoides subsp cassanoides
9.2,Picea rubens
9.3,Athyrium filix-femina
9.3,Brachyletrium erectum
9.3,Osmunda cinnamonea
9.3,Viburnum cassanoides subsp cassanoides
9.3,Acer rubrum
9.3,Clintonia virginiana
9.3,Trientalis borealis
9.3,Mediola virginiana
9.3,Betula alleghaniensis
9.3,Tsuga canadensis
9.3,Abies balsamea
9.3,Coptis groenlandica
9.4,Mitchella repens
9.4,Acer rubrum
9.4,Athyrium filix-femina
9.4,Mauringia macrophylla
9.4,Deschampsia flexuosa
9.4,Maianthemum canadense
9.4,Pteridium aquilinum
9.4,Dryopteris intermedia
9.4,Dryopteris marginalis
9.4,Pinus strobus
9.4,Juniperus communis var. depressa
9.4,Viburnum cassanoides subsp cassanoides
9.4,Betula papyrifera
9.4,Campanula rotundifolia
9.4,Picea rubens
9.4,Abies balsamea
9.4,Tsuga canadensis
10.1,Rubus idaeus
10.1,Viola sp. 
10.1,Chenopodium album
10.1,Dryopteris intermedia
10.1,Hieracium canadense
10.1,Ulmus americana
