#/////////////////////////////////////,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# TITLE: RMBL Warming Experiment Fungal Symbiont Diversity,,,,,,,,,
# DATE: 2017-02-08,,,,,,,,,
# AUTHOR: Melanie R. Kazenel,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# AUTHOR EMAIL: mkazenel@uvm.edu,,,,,,,,,
# AUTHOR ADDRESS: University of Vermont; 109 Carrigan Drive; Marsh Life Science Building; Burlington VT 05405,,,,,,,,,
# AUTHOR WEBSITE: https://github.com/mkazenel ,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# OWNERSHIP: Melanie R. Kazenel ,,,,,,,,,
# COLLABORATORS: Jennifer A. Rudgers;  Stephanie N. Kivlin; D. Lee Taylor,,,,,,,,,
# FUNDING SOURCES: National Science Foundation (grant DEB- 1354972); Rocky Mountain Biological Laboratory (National Science Foundation grants DBI-0753774 and OIA-0963529); University of New Mexico Department of Biology,,,,,,,,,
# REPOSITORY: https://github.com/mkazenel/Bio381,,,,,,,,,
# CITATIONS: NA,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# SAMPLING LOCATIONS: Warming Experiment - Rocky Mountain Biological Laboratory - Gothic CO (38.95806��_N; 106.9894��_W; elev. 2920 m),,,,,,,,,
# SAMPLING TIMES: June sampling occurred on 30 June and 2 July 2014. September sampling occurred on 25-30 September 2014,,,,,,,,,
# VARIABLE DESCRIPTIONS: ,,,,,,,,,
# ID: Unique numerical identifier assigned to each sample,,,,,,,,,
# Sample: Sample name,,,,,,,,,
# Plot: Number of the plot in the RMBL warming experiment from which the sample was collected.,,,,,,,,,
# WarmingTreatment: Warming treatment of each plot. Warmed plots have infrared lamps suspended over them; control plots are unheated.,,,,,,,,,
# HostSpecies: Grass species from which the sample was collected. AL = Achnatherum lettermanii; FT = Festuca thurberi; PP = Poa pratensis.,,,,,,,,,
# TissueType: Grass tissue type of the sample (roots or leaves).,,,,,,,,,
# CollectionDate: Time of year at which the sample was collected (June or September).,,,,,,,,,
# DivShann: Shannon diversity of fungal symbionts in the sample. Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# Richness: Fungal symbiont richness of the sample (for leaf samples only). Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# Evenness: Fungal symbiont evenness of the sample (for leaf samples only). Calculated from Illumina paired-end sequencing of the ITS2 region.,,,,,,,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,
# ------------------------------------------------,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,
ID,Sample,Plot,WarmingTreatment,HostSpecies,TissueType,CollectionDate,DivShann,Richness,Evenness
1,ITS10,5,control,AL,Lvs,September,2.55771584,29,0.759575627
2,ITS100,10,warmed,FT,Lvs,June,1.794331957,160,0.353550838
3,ITS102,1,control,PP,Lvs,June,3.470707552,152,0.690841977
4,ITS104,2,warmed,PP,Lvs,June,2.246293803,165,0.439936896
5,ITS106,3,control,PP,Lvs,June,3.364004811,229,0.619097703
6,ITS108,4,warmed,PP,Lvs,June,3.17239774,175,0.614236051
7,ITS110,5,control,PP,Lvs,June,3.501218321,47,0.909372492
8,ITS112,6,warmed,PP,Lvs,June,1.938465006,9,0.882233444
9,ITS114,7,control,PP,Lvs,June,2.108288643,24,0.663389847
10,ITS116,8,warmed,PP,Lvs,June,1.617053152,6,0.902494548
11,ITS118,9,control,PP,Lvs,June,1.699948322,10,0.738278176
12,ITS12,6,warmed,AL,Lvs,September,2.533077194,35,0.712469539
13,ITS120,10,warmed,PP,Lvs,June,2.762224511,210,0.516582937
14,ITS14,7,control,AL,Lvs,September,1.837632029,13,0.716439888
15,ITS16,8,warmed,AL,Lvs,September,2.005321715,22,0.648752563
16,ITS18,9,control,AL,Lvs,September,2.14203329,16,0.772575201
17,ITS2,1,control,AL,Lvs,September,3.451435122,94,0.759676686
18,ITS20,10,warmed,AL,Lvs,September,3.163731552,35,0.889851429
19,ITS22,1,control,FT,Lvs,September,2.971256801,37,0.822853599
20,ITS24,2,warmed,FT,Lvs,September,2.722331074,30,0.800403731
21,ITS26,3,control,FT,Lvs,September,3.218249351,44,0.850446109
22,ITS28,4,warmed,FT,Lvs,September,2.689050943,24,0.846131339
23,ITS30,5,control,FT,Lvs,September,2.805414199,30,0.824831341
24,ITS32,6,warmed,FT,Lvs,September,1.815119772,40,0.492051799
25,ITS34,7,control,FT,Lvs,September,3.471958789,67,0.82573427
26,ITS36,8,warmed,FT,Lvs,September,3.081470765,56,0.765515911
27,ITS38,9,control,FT,Lvs,September,3.161161084,46,0.825661314
28,ITS4,2,warmed,AL,Lvs,September,1.982954278,27,0.601654256
29,ITS40,10,warmed,FT,Lvs,September,3.200311725,45,0.840713285
30,ITS42,1,control,PP,Lvs,September,2.775285652,38,0.762947056
31,ITS44,2,warmed,PP,Lvs,September,2.946581468,66,0.703299353
32,ITS46,3,control,PP,Lvs,September,3.150853249,44,0.832636193
33,ITS48,4,warmed,PP,Lvs,September,3.331626214,44,0.880406781
34,ITS50,5,control,PP,Lvs,September,2.008093777,31,0.584770314
35,ITS52,6,warmed,PP,Lvs,September,3.275171187,123,0.680599691
36,ITS54,7,control,PP,Lvs,September,2.400244067,104,0.51680492
37,ITS56,8,warmed,PP,Lvs,September,2.352171545,139,0.476681319
38,ITS58,9,control,PP,Lvs,September,4.116263395,289,0.726430186
39,ITS6,3,control,AL,Lvs,September,4.173601272,296,0.733451253
40,ITS60,10,warmed,PP,Lvs,September,2.652841102,123,0.551275867
41,ITS62,1,control,AL,Lvs,June,1.984641593,85,0.446724597
42,ITS64,2,warmed,AL,Lvs,June,2.50110937,81,0.569151965
43,ITS66,3,control,AL,Lvs,June,3.221546791,123,0.669456229
44,ITS68,4,warmed,AL,Lvs,June,1.426454888,101,0.309082912
45,ITS70,5,control,AL,Lvs,June,3.158457334,194,0.599571446
46,ITS72,6,warmed,AL,Lvs,June,2.329029652,103,0.502516902
47,ITS74,7,control,AL,Lvs,June,3.194035929,190,0.608732852
48,ITS76,8,warmed,AL,Lvs,June,3.491121005,256,0.62957787
49,ITS78,9,control,AL,Lvs,June,3.382810735,144,0.680671593
