vessel	year	ID	dateCollect	species	fishTotalLength_mm	fishWetWeight_g	species_names
4	2010	04.2010.003	4/19/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.003	4/19/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.003	4/19/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.056	5/3/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2012	04.2012.193	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.195	7/23/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.313	10/2/2012	741	NA	NA	Yellow_Perch
4	2012	04.2012.363	10/14/2012	741	NA	NA	Yellow_Perch
28	2013	28.2013.043	5/14/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.069	5/31/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.085	6/3/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.094	6/4/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.099	6/4/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.324	10/23/2013	741	NA	NA	Yellow_Perch
28	2012	28.2012.341	#N/A	741	NA	NA	Yellow_Perch
28	2012	28.2012.341	#N/A	741	NA	NA	Yellow_Perch
4	2013	04.2013.226	7/27/2012	741	NA	NA	Yellow_Perch
4	2010	04.2010.185	7/24/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.053	5/3/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.020	4/22/2010	741	NA	NA	Yellow_Perch
28	2013	28.2013.150	7/11/2013	741	NA	NA	Yellow_Perch
28	2013	28.2013.315	9/26/2013	741	NA	NA	Yellow_Perch
4	2010	04.2010.003	4/19/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.015	4/21/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.340	10/13/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.358	10/17/2010	741	NA	NA	Yellow_Perch
4	2010	04.2010.390	10/26/2010	741	NA	NA	Yellow_Perch
