Sample,Experiment,Year,Plot,Pair,WarmingTreatment,Species,TissueType,CollectionDate,DivShann,Richness,lnRichness,Evenness
2012_ITS10,Warming,2012,5,3,control,AL,Lvs,September,2.55771584,29,3.36729583,0.759575627
2012_ITS100,Warming,2012,10,5,warmed,FT,Lvs,June,1.794331957,160,5.075173815,0.353550838
2012_ITS102,Warming,2012,1,1,control,PP,Lvs,June,3.470707552,152,5.023880521,0.690841977
2012_ITS104,Warming,2012,2,1,warmed,PP,Lvs,June,2.246293803,165,5.105945474,0.439936896
2012_ITS106,Warming,2012,3,2,control,PP,Lvs,June,3.364004811,229,5.433722004,0.619097703
2012_ITS108,Warming,2012,4,2,warmed,PP,Lvs,June,3.17239774,175,5.164785974,0.614236051
2012_ITS110,Warming,2012,5,3,control,PP,Lvs,June,3.501218321,47,3.850147602,0.909372492
2012_ITS112,Warming,2012,6,3,warmed,PP,Lvs,June,1.938465006,9,2.197224577,0.882233444
2012_ITS114,Warming,2012,7,4,control,PP,Lvs,June,2.108288643,24,3.17805383,0.663389847
2012_ITS116,Warming,2012,8,4,warmed,PP,Lvs,June,1.617053152,6,1.791759469,0.902494548
2012_ITS118,Warming,2012,9,5,control,PP,Lvs,June,1.699948322,10,2.302585093,0.738278176
2012_ITS12,Warming,2012,6,3,warmed,AL,Lvs,September,2.533077194,35,3.555348061,0.712469539
2012_ITS120,Warming,2012,10,5,warmed,PP,Lvs,June,2.762224511,210,5.347107531,0.516582937
2012_ITS14,Warming,2012,7,4,control,AL,Lvs,September,1.837632029,13,2.564949357,0.716439888
2012_ITS16,Warming,2012,8,4,warmed,AL,Lvs,September,2.005321715,22,3.091042453,0.648752563
2012_ITS18,Warming,2012,9,5,control,AL,Lvs,September,2.14203329,16,2.772588722,0.772575201
2012_ITS2,Warming,2012,1,1,control,AL,Lvs,September,3.451435122,94,4.543294782,0.759676686
2012_ITS20,Warming,2012,10,5,warmed,AL,Lvs,September,3.163731552,35,3.555348061,0.889851429
2012_ITS22,Warming,2012,1,1,control,FT,Lvs,September,2.971256801,37,3.610917913,0.822853599
2012_ITS24,Warming,2012,2,1,warmed,FT,Lvs,September,2.722331074,30,3.401197382,0.800403731
2012_ITS26,Warming,2012,3,2,control,FT,Lvs,September,3.218249351,44,3.784189634,0.850446109
2012_ITS28,Warming,2012,4,2,warmed,FT,Lvs,September,2.689050943,24,3.17805383,0.846131339
2012_ITS30,Warming,2012,5,3,control,FT,Lvs,September,2.805414199,30,3.401197382,0.824831341
2012_ITS32,Warming,2012,6,3,warmed,FT,Lvs,September,1.815119772,40,3.688879454,0.492051799
2012_ITS34,Warming,2012,7,4,control,FT,Lvs,September,3.471958789,67,4.204692619,0.82573427
2012_ITS36,Warming,2012,8,4,warmed,FT,Lvs,September,3.081470765,56,4.025351691,0.765515911
2012_ITS38,Warming,2012,9,5,control,FT,Lvs,September,3.161161084,46,3.828641396,0.825661314
2012_ITS4,Warming,2012,2,1,warmed,AL,Lvs,September,1.982954278,27,3.295836866,0.601654256
2012_ITS40,Warming,2012,10,5,warmed,FT,Lvs,September,3.200311725,45,3.80666249,0.840713285
2012_ITS42,Warming,2012,1,1,control,PP,Lvs,September,2.775285652,38,3.63758616,0.762947056
2012_ITS44,Warming,2012,2,1,warmed,PP,Lvs,September,2.946581468,66,4.189654742,0.703299353
2012_ITS46,Warming,2012,3,2,control,PP,Lvs,September,3.150853249,44,3.784189634,0.832636193
2012_ITS48,Warming,2012,4,2,warmed,PP,Lvs,September,3.331626214,44,3.784189634,0.880406781
2012_ITS50,Warming,2012,5,3,control,PP,Lvs,September,2.008093777,31,3.433987204,0.584770314
2012_ITS52,Warming,2012,6,3,warmed,PP,Lvs,September,3.275171187,123,4.812184355,0.680599691
2012_ITS54,Warming,2012,7,4,control,PP,Lvs,September,2.400244067,104,4.644390899,0.51680492
2012_ITS56,Warming,2012,8,4,warmed,PP,Lvs,September,2.352171545,139,4.934473933,0.476681319
2012_ITS58,Warming,2012,9,5,control,PP,Lvs,September,4.116263395,289,5.666426688,0.726430186
2012_ITS6,Warming,2012,3,2,control,AL,Lvs,September,4.173601272,296,5.690359454,0.733451253
2012_ITS60,Warming,2012,10,5,warmed,PP,Lvs,September,2.652841102,123,4.812184355,0.551275867
2012_ITS62,Warming,2012,1,1,control,AL,Lvs,June,1.984641593,85,4.442651256,0.446724597
2012_ITS64,Warming,2012,2,1,warmed,AL,Lvs,June,2.50110937,81,4.394449155,0.569151965
2012_ITS66,Warming,2012,3,2,control,AL,Lvs,June,3.221546791,123,4.812184355,0.669456229
2012_ITS68,Warming,2012,4,2,warmed,AL,Lvs,June,1.426454888,101,4.615120517,0.309082912
2012_ITS70,Warming,2012,5,3,control,AL,Lvs,June,3.158457334,194,5.267858159,0.599571446
2012_ITS72,Warming,2012,6,3,warmed,AL,Lvs,June,2.329029652,103,4.634728988,0.502516902
2012_ITS74,Warming,2012,7,4,control,AL,Lvs,June,3.194035929,190,5.247024072,0.608732852
2012_ITS76,Warming,2012,8,4,warmed,AL,Lvs,June,3.491121005,256,5.545177444,0.62957787
2012_ITS78,Warming,2012,9,5,control,AL,Lvs,June,3.382810735,144,4.9698133,0.680671593
2012_ITS8,Warming,2012,4,2,warmed,AL,Lvs,September,2.802641958,165,5.105945474,0.548897745
2012_ITS80,Warming,2012,10,5,warmed,AL,Lvs,June,2.88738158,117,4.762173935,0.606315859
2012_ITS82,Warming,2012,1,1,control,FT,Lvs,June,2.819195203,127,4.844187086,0.581974881
2012_ITS84,Warming,2012,2,1,warmed,FT,Lvs,June,2.321342915,104,4.644390899,0.499816438
2012_ITS86,Warming,2012,3,2,control,FT,Lvs,June,3.094879759,222,5.402677382,0.57284186
2012_ITS88,Warming,2012,4,2,warmed,FT,Lvs,June,2.426887096,134,4.8978398,0.495501526
2012_ITS90,Warming,2012,5,3,control,FT,Lvs,June,3.564906628,133,4.890349128,0.728967715
2012_ITS92,Warming,2012,6,3,warmed,FT,Lvs,June,3.507330109,200,5.298317367,0.661970559
2012_ITS94,Warming,2012,7,4,control,FT,Lvs,June,3.165889498,158,5.062595033,0.625349149
2012_ITS96,Warming,2012,8,4,warmed,FT,Lvs,June,2.839091354,164,5.099866428,0.556699159
2012_ITS98,Warming,2012,9,5,control,FT,Lvs,June,3.022644946,125,4.828313737,0.626024967
2012_ITS1,Warming,2012,1,1,control,AL,Rts,September,2.911722794,,,
2012_ITS101,Warming,2012,1,1,control,PP,Rts,June,1.533254808,,,
2012_ITS103,Warming,2012,2,1,warmed,PP,Rts,June,1.214756262,,,
2012_ITS105,Warming,2012,3,2,control,PP,Rts,June,0.833871918,,,
2012_ITS107,Warming,2012,4,2,warmed,PP,Rts,June,2.785064684,,,
2012_ITS109,Warming,2012,5,3,control,PP,Rts,June,2.378923909,,,
2012_ITS11,Warming,2012,6,3,warmed,AL,Rts,September,3.336434802,,,
2012_ITS111,Warming,2012,6,3,warmed,PP,Rts,June,3.080479954,,,
2012_ITS113,Warming,2012,7,4,control,PP,Rts,June,3.243130577,,,
2012_ITS115,Warming,2012,8,4,warmed,PP,Rts,June,0.617142332,,,
2012_ITS117,Warming,2012,9,5,control,PP,Rts,June,3.151215507,,,
2012_ITS119,Warming,2012,10,5,warmed,PP,Rts,June,1.474952774,,,
2012_ITS13,Warming,2012,7,4,control,AL,Rts,September,3.124245913,,,
2012_ITS15,Warming,2012,8,4,warmed,AL,Rts,September,3.64617878,,,
2012_ITS17,Warming,2012,9,5,control,AL,Rts,September,2.060364137,,,
2012_ITS19,Warming,2012,10,5,warmed,AL,Rts,September,3.20693132,,,
2012_ITS21,Warming,2012,1,1,control,FT,Rts,September,2.164962232,,,
2012_ITS23,Warming,2012,2,1,warmed,FT,Rts,September,2.08321165,,,
2012_ITS25,Warming,2012,3,2,control,FT,Rts,September,2.262386254,,,
